Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,Salary
digital media planner,5 - 10 yrs,media planning| digital media,advertising,mumbai,"marketing , advertising , mr , pr , media planning","advertising, pr, mr, event management",media planning executive/manager,72.8773928,19.0759899,3855
online bidding executive,2 - 5 yrs,pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,retail sales,"pune,pune","sales , retail , business development","it-software, software services",sales executive/officer,73.8544541,18.521428,2639
trainee research/ research executive- hi- tech operations,0 - 1 yrs,computer science| fabrication| quality check| intellectual property| electronics| support services| research| management| human resource management| research executive,r&d,gurgaon,"engineering design , r&d","recruitment, staffing",r&d executive,77.00270015,28.42826235,2156
technical support,0 - 5 yrs,technical support,admin/maintenance/security/datawarehousing,mumbai,"it software - application programming , maintenance","it-software, software services",technical support engineer,72.8773928,19.0759899,4059
software test engineer -hyderabad,2 - 5 yrs,manual testing| test engineering| test cases| web testing| web technologies,programming & design,hyderabad,it software - qa & testing,"it-software, software services",testing engineer,78.4740613,17.360589,5347
opening for adobe analytics specialist,5 - 7 yrs,adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,programming & design,pune,"it software - application programming , maintenance","it-software, software services",system analyst,73.8544541,18.521428,4838
sales- fresher-for leading property consultant,0 - 0 yrs,channel partners| real estate| negotiation| property| residential sales,retail sales,bengaluru,"sales , retail , business development","real estate, property",sales executive/officer,77.590082,12.9767936,2585
opportunity for azure devops architect for hyderabad location,9 - 14 yrs,tfs| azure| git| vsts| docker| dynatrace| splunk| aws,programming & design,hyderabad,"it software - application programming , maintenance","it-software, software services",technical architect,78.4740613,17.360589,3914
bde- pune,2 - 7 yrs,bde,institutional sales,pune,"sales , retail , business development","it-software, software services",sales executive/officer,73.8544541,18.521428,2111
technical support/ product support,1 - 5 yrs,technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,voice,bengaluru,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(technical),77.590082,12.9767936,2359
executive assistant to chairman,5 - 10 yrs,secretary| executive assistant| ea,corporate planning/consulting/strategy,mumbai,"strategy , management consulting , corporate planning","courier, transportation, freight , warehousing",corporate planning/strategy manager,72.8773928,19.0759899,5569
